Customer_ID,Age,Gender,Region,Tenure_Months,Contract_Type,Monthly_Charges,Total_Charges,Support_Calls,Payment_Method,Has_Internet,Has_Premium,Churn
CUST0001,58,Male,North,36,Monthly,38.14,1373.04,1.0,PayPal,Yes,No,Yes
CUST0002,20,Male,North,28,Monthly,98.26,2751.28,8.0,Credit Card,No,Yes,No
CUST0003,46,Female,North,21,Annual,64.23,1348.83,2.0,Credit Card,No,Yes,No
CUST0004,23,Female,North,46,Two-Year,98.48,4530.08,0.0,PayPal,No,Yes,No
CUST0005,42,Male,East,47,Annual,111.59,5244.73,0.0,PayPal,Yes,No,Yes
CUST0006,23,Male,North,49,Monthly,102.64,5029.36,5.0,Credit Card,No,No,Yes
CUST0007,31,Female,North,22,Annual,51.83,1140.26,7.0,Bank Transfer,No,Yes,Yes
CUST0008,61,Female,North,30,Two-Year,124.66,3739.8,6.0,Bank Transfer,Yes,Yes,No
CUST0009,54,Female,South,64,Monthly,138.89,8888.96,7.0,Credit Card,No,Yes,Yes
CUST0010,33,Female,West,52,Monthly,149.65,7781.8,2.0,PayPal,No,Yes,No
CUST0011,66,Male,North,20,Annual,122.97,2459.4,6.0,PayPal,Yes,No,Yes
CUST0012,42,Female,East,71,Two-Year,21.49,1525.79,1.0,PayPal,No,No,No
CUST0013,25,Female,West,21,Monthly,144.0,3024.0,4.0,PayPal,Yes,Yes,No
CUST0014,58,Female,South,20,Monthly,41.0,820.0,8.0,Credit Card,No,No,Yes
CUST0015,19,Male,East,40,Monthly,51.31,2052.4,1.0,Credit Card,No,Yes,Yes
CUST0016,66,Male,South,61,Two-Year,41.47,2529.67,8.0,PayPal,No,Yes,No
CUST0017,52,Male,East,52,Two-Year,104.48,5432.96,7.0,PayPal,No,Yes,No
CUST0018,33,Male,North,44,Monthly,92.01,4048.44,3.0,Credit Card,Yes,Yes,No
CUST0019,32,Male,North,43,Monthly,50.94,2190.42,7.0,Credit Card,Yes,No,Yes
CUST0020,33,Female,West,25,Monthly,105.67,2641.75,5.0,Bank Transfer,No,No,Yes
CUST0021,64,Male,North,8,Monthly,64.11,512.88,1.0,Credit Card,Yes,Yes,Yes
CUST0022,52,Female,South,55,Monthly,80.14,4407.7,1.0,Bank Transfer,Yes,Yes,Yes
CUST0023,59,Male,North,31,Monthly,83.13,2577.03,3.0,Bank Transfer,Yes,Yes,Yes
CUST0024,42,Male,West,34,Two-Year,122.07,4150.38,4.0,Bank Transfer,No,Yes,No
CUST0025,30,Female,South,8,Annual,90.49,723.92,5.0,Credit Card,Yes,No,Yes
CUST0026,50,Male,North,66,Monthly,44.16,2914.56,1.0,PayPal,Yes,No,No
CUST0027,25,Male,North,11,Monthly,95.88,1054.68,8.0,Bank Transfer,No,Yes,Yes
CUST0028,60,Female,South,34,Monthly,107.32,3648.88,4.0,Bank Transfer,No,Yes,Yes
CUST0029,18,Female,North,10,Annual,85.77,857.7,2.0,Bank Transfer,Yes,Yes,No
CUST0030,41,Female,South,57,Two-Year,111.46,6353.22,8.0,Credit Card,No,Yes,Yes
CUST0031,26,Female,North,14,Annual,40.21,562.94,4.0,PayPal,Yes,No,No
CUST0032,31,Female,West,33,Two-Year,129.99,4289.67,1.0,PayPal,No,No,No
CUST0033,20,Male,East,17,Annual,54.05,918.85,7.0,PayPal,No,Yes,Yes
CUST0034,25,Male,South,70,Monthly,68.0,4760.0,8.0,Credit Card,No,Yes,No
CUST0035,20,Female,East,6,Two-Year,47.31,283.86,3.0,PayPal,Yes,No,No
CUST0036,67,Female,South,31,Two-Year,146.91,4554.21,2.0,Bank Transfer,Yes,Yes,No
CUST0037,65,Female,West,32,Monthly,122.36,3915.52,1.0,Bank Transfer,Yes,No,Yes
CUST0038,32,Male,West,45,Monthly,123.39,5552.55,3.0,Credit Card,Yes,Yes,Yes
CUST0039,43,Female,East,9,Two-Year,56.29,506.61,8.0,Bank Transfer,No,Yes,No
CUST0040,25,Female,South,34,Monthly,97.55,3316.7,5.0,PayPal,No,No,Yes
CUST0041,56,Male,West,25,Monthly,112.14,2803.5,0.0,PayPal,Yes,No,Yes
CUST0042,45,Male,East,41,Annual,36.2,1484.2,4.0,PayPal,No,No,No
CUST0043,38,Female,East,71,Monthly,74.66,5300.86,6.0,PayPal,Yes,No,Yes
CUST0044,43,Male,East,37,Monthly,122.15,4519.55,5.0,Bank Transfer,No,No,No
CUST0045,61,Male,West,22,Annual,56.89,1251.58,5.0,Credit Card,Yes,No,Yes
CUST0046,32,Male,South,4,Monthly,147.91,591.64,1.0,Bank Transfer,No,Yes,Yes
CUST0047,63,Female,West,52,Monthly,105.29,5475.08,0.0,Credit Card,No,Yes,Yes
CUST0048,29,Female,North,72,Monthly,130.28,9380.16,7.0,Credit Card,No,No,Yes
CUST0049,66,Female,West,71,Monthly,40.69,2888.99,7.0,Bank Transfer,No,Yes,Yes
CUST0050,58,Female,West,31,Monthly,30.07,932.17,4.0,Credit Card,No,No,Yes
CUST0051,38,Male,South,20,Monthly,110.21,2204.2,3.0,Credit Card,No,No,No
CUST0052,39,Female,West,8,Monthly,74.62,596.96,0.0,PayPal,No,No,No
CUST0053,18,Female,East,50,Two-Year,143.95,7197.5,6.0,PayPal,Yes,No,No
CUST0054,32,Female,West,63,Monthly,63.7,4013.1,6.0,PayPal,Yes,No,No
CUST0055,26,Male,West,4,Monthly,75.72,302.88,7.0,Credit Card,Yes,No,Yes
CUST0056,42,Female,South,59,Monthly,118.96,7018.64,6.0,Bank Transfer,No,No,No
CUST0057,23,Female,North,70,Monthly,143.75,10062.5,3.0,PayPal,Yes,Yes,Yes
CUST0058,66,Male,South,26,Two-Year,100.77,2620.02,3.0,Credit Card,No,Yes,No
CUST0059,54,Male,West,33,Annual,41.81,1379.73,1.0,Credit Card,No,Yes,Yes
CUST0060,55,Male,East,49,Monthly,82.27,2442.16,4.0,Bank Transfer,Yes,Yes,Yes
CUST0061,62,Female,North,6,Monthly,75.69,454.14,5.0,Credit Card,No,Yes,Yes
CUST0062,44,Female,North,56,Two-Year,102.63,5747.28,7.0,PayPal,Yes,No,Yes
CUST0063,29,Female,West,60,Monthly,115.03,6901.8,4.0,Bank Transfer,Yes,Yes,No
CUST0064,35,Female,South,60,Annual,106.86,6411.6,5.0,Credit Card,No,No,Yes
CUST0065,29,Female,South,46,Annual,64.24,2955.04,4.0,PayPal,Yes,Yes,No
CUST0066,23,Male,West,63,Annual,51.24,3228.12,7.0,PayPal,No,No,No
CUST0067,68,Male,North,38,Monthly,109.93,4177.34,4.0,PayPal,No,No,Yes
CUST0068,53,Female,West,71,Monthly,111.37,7907.27,4.0,Bank Transfer,No,Yes,No
CUST0069,25,Male,East,16,Annual,143.61,2297.76,2.0,Credit Card,Yes,No,Yes
CUST0070,35,Female,North,25,Monthly,66.91,1672.75,4.0,Credit Card,Yes,No,No
CUST0071,20,Male,East,17,Annual,117.86,2003.62,1.0,Credit Card,No,No,No
CUST0072,48,Female,East,24,Two-Year,52.82,1267.68,7.0,Credit Card,Yes,No,Yes
CUST0073,49,Male,North,20,Monthly,93.17,1863.4,4.0,Credit Card,Yes,Yes,Yes
CUST0074,53,Female,South,67,Monthly,138.11,9253.37,4.0,PayPal,No,No,No
CUST0075,54,Male,North,27,Annual,54.4,1468.8,1.0,Credit Card,Yes,Yes,No
CUST0076,53,Male,South,1,Monthly,109.62,109.62,7.0,Bank Transfer,Yes,Yes,Yes
CUST0077,36,Female,West,10,Annual,82.27,2442.16,4.0,Bank Transfer,Yes,Yes,No
CUST0078,59,Male,East,19,Monthly,41.57,789.83,4.0,PayPal,No,No,Yes
CUST0079,25,Female,East,52,Two-Year,85.06,4423.12,7.0,Bank Transfer,Yes,Yes,No
CUST0080,45,Female,East,4,Monthly,145.05,580.2,0.0,PayPal,No,Yes,Yes
CUST0081,66,Male,West,67,Annual,139.09,9319.03,2.0,PayPal,No,No,No
CUST0082,23,Female,East,53,Monthly,107.12,5677.36,2.0,Bank Transfer,No,No,No
CUST0083,36,Female,North,59,Monthly,52.81,3115.79,1.0,Bank Transfer,Yes,No,No
CUST0084,44,Male,South,67,Monthly,118.34,7928.78,7.0,Credit Card,Yes,No,Yes
CUST0085,53,Male,East,57,Two-Year,83.01,4731.57,0.0,PayPal,Yes,Yes,No
CUST0086,37,Male,West,12,Monthly,129.38,1552.56,1.0,Bank Transfer,Yes,Yes,Yes
CUST0087,49,Female,East,54,Two-Year,147.43,7961.22,3.0,Bank Transfer,Yes,No,No
