Order_ID,Order_Date,Customer,Region,Category,Product,Quantity,Unit_Price,Salesperson,Revenue,Month
1,2025-01-03,Mia,East,Clothing,Shoes,8.0,3638.0,Priya,29104.0,January
2,2025-04-30,Noah,East,Unknown,Table,6.0,13975.0,Pooja,83850.0,April
3,2025-05-17,John,East,Clothing,Jacket,10.0,1665.0,Rahul,16650.0,May
4,2025-03-09,Michael,West,Furniture,Desk,5.0,2027.0,Rahul,10135.0,March
5,2025-01-07,David,South,Electronics,Monitor,10.0,23657.0,Amit,236570.0,January
6,2025-06-08,Liam,East,Clothing,Jacket,6.0,1715.0,Ravi,10290.0,June
7,2025-11-19,Charlotte,Unknown,Clothing,Jacket,5.0,4393.0,Ravi,21965.0,November
8,2025-06-17,William,East,Furniture,Chair,9.0,13610.0,Sneha,122490.0,June
9,2025-05-03,Mia,West,Furniture,Cupboard,5.0,3638.0,Rahul,18190.0,May
10,2025-08-16,Michael,South,Clothing,Shoes,4.0,877.0,Sneha,3508.0,August
11,2025-10-08,Alice,North,Groceries,Oil,10.0,664.0,Sneha,6640.0,October
12,2025-10-30,Charlotte,East,Electronics,Monitor,9.0,31691.0,Priya,285219.0,October
13,2025-05-21,Ava,West,Electronics,Keyboard,4.0,3638.0,Rahul,14552.0,May
14,2025-01-29,William,West,Electronics,Mobile,5.0,14341.0,Priya,71705.0,January
15,2025-09-05,Liam,East,Clothing,Shoes,8.0,3405.0,Priya,27240.0,September
16,2025-01-20,William,Unknown,Clothing,T-Shirt,3.0,3824.0,Amit,11472.0,January
17,2025-03-06,Liam,Unknown,Groceries,Milk,4.0,191.0,Amit,764.0,March
18,2025-11-28,Mia,Unknown,Furniture,Chair,1.0,4490.0,Pooja,4490.0,November
19,2025-10-22,Unknown,East,Clothing,Jeans,1.0,4210.0,Rahul,4210.0,October
20,2025-09-29,Michael,Unknown,Electronics,Monitor,9.0,12472.0,Sneha,112248.0,September
21,2025-07-03,John,South,Clothing,T-Shirt,3.0,1903.0,Rahul,5709.0,July
22,2025-03-14,Ava,West,Groceries,Eggs,6.0,142.0,Priya,852.0,March
23,2025-01-03,Alice,East,Furniture,Table,1.0,6660.0,Pooja,6660.0,January
24,2025-11-20,David,South,Groceries,Milk,2.0,3638.0,Amit,7276.0,November
25,2025-11-17,Emma,East,Electronics,Monitor,10.0,5588.0,Kiran,55880.0,November
26,2025-12-08,Charlotte,South,Furniture,Chair,3.0,3638.0,Priya,10914.0,December
27,2025-06-18,Sophia,South,Furniture,Sofa,9.0,13927.0,Kiran,125343.0,June
28,2025-02-09,Charlotte,West,Clothing,Cap,5.0,3828.0,Priya,19140.0,February
29,2025-09-27,Unknown,East,Clothing,Shoes,9.0,2974.0,Priya,26766.0,September
30,2025-07-08,Michael,West,Groceries,Milk,6.0,130.0,Priya,780.0,July
31,2025-02-26,Mia,South,Groceries,Milk,3.0,895.0,Priya,2685.0,February
32,2025-10-12,David,West,Furniture,Sofa,3.0,3768.0,Pooja,11304.0,October
